Colony.ID,Date,Northing,Easting,DIST,PIC,DFPIC,TEMP,IRR,SIZE,DIS
1,3-Mar,2029536.37,322580.95,6.375578405,0,45.07287544,27.03958904,5.6519,15120,0
2,3-Mar,2029541.93,322577.83,1.050047618,0,39.10077365,27.03958904,5.6519,17280,0
3,3-Mar,2029541.94,322576.78,1.050047618,0,38.97262244,27.03958904,5.6519,68000,0
4A,3-Mar,2029581.83,322572.92,1.060047169,1,1.060047169,27.03958904,5.6519,292500,0
4B,3-Mar,2029580.72,322572.91,1.110045044,1,1.110045044,27.03958904,5.6519,3375,0
4C,3-Mar,2029579.62,322571.84,1.534568343,0,1.534568343,27.03958904,5.6519,375,0
5,3-Mar,2029599.52,322575.19,9.402260367,1,9.402260367,27.03958904,5.6519,94500,0
6,3-Mar,2029581.84,322571.86,1.060047169,1,1.060047169,27.03958904,5.6519,265200,0
7,3-Mar,2029608.4,322572.1,7.736284638,1,9.402260367,27.03958904,5.6519,11232,0
8,3-Mar,2029612.89,322565.8,7.736284638,0,7.736284638,27.03958904,5.6519,45150,0
9,3-Mar,2029622.85,322565.9,9.960501995,0,15.72394671,27.03958904,5.6519,44100,0
10,3-Mar,2029632.92,322554.36,5.376430042,0,30.26446761,27.03958904,5.6519,12600,0
11,3-Mar,2029636.2,322558.62,5.376430042,0,30.89579907,27.03958904,5.6519,5525,0
12,3-Mar,2029643.89,322565.03,8.522088946,0,36.18735967,27.03958904,5.6519,9240,0
13,3-Mar,2029645.07,322556.59,7.359415738,0,39.81518555,27.03958904,5.6519,7875,0
14,3-Mar,2029651.74,322553.48,6.72393486,0,47.17054165,27.03958904,5.6519,50625,0
15,3-Mar,2029658.37,322554.6,6.72393486,0,52.94573543,27.03958904,5.6519,3726,0
16,3-Mar,2029652.98,322538.69,14.84189004,0,55.71000359,27.03958904,5.6519,42560,0
17,3-Mar,2029666.18,322548.33,2.210090496,0,62.47832664,27.03958904,5.6519,18900,0
18,3-Mar,2029668.39,322548.35,2.210090496,0,64.52024953,27.03958904,5.6519,19200,0
19,3-Mar,2029689.46,322544.31,9.23231282,0,46.09013018,27.03958904,5.6519,91160,0
20,3-Mar,2029695.06,322536.97,6.126744649,0,37.99866971,27.03958904,5.6519,1920,1
21,3-Mar,2029699.53,322532.78,6.11945259,0,32.42158694,27.03958904,5.6519,2,0
22,3-Mar,2029703.99,322528.59,5.540225627,0,27.0929142,27.03958904,5.6519,110250,0
23,3-Mar,2029706.16,322533.9,5.736287998,0,26.55042373,27.03958904,5.6519,31200,0
24,3-Mar,2029709.53,322528.64,5.540225627,0,21.68581333,27.03958904,5.6519,34848,0
25,3-Mar,2029722.89,322520.31,5.927562737,0,8.372335397,27.03958904,5.6519,8424,0
26A,3-Mar,2029717.37,322518.15,1.00E-10,0,14.29886709,27.03958904,5.6519,208,0
26B,3-Mar,2029717.38,322517.09,1.060047169,0,14.7229243,27.03958904,5.6519,2100,0
26C,3-Mar,2029717.37,322518.15,1.00E-10,0,14.29886709,27.03958904,5.6519,160,0
27,3-Mar,2029730.61,322523.55,3.938591119,1,25.44124604,27.03958904,5.6519,26730,0
28,3-Mar,2029733.91,322525.7,3.938591119,0,3.938591119,27.03958904,5.6519,10200,0
29,3-Mar,2029737.35,322511.99,6.340283905,0,13.38137512,27.03958904,5.6519,14256,0
030A,3-Mar,2029735.06,322520.42,3.056304959,0,5.440533062,27.03958904,5.6519,2548,0
030B,3-Mar,2029739.51,322518.35,2.220090088,0,10.30776406,27.03958904,5.6519,1859,0
030C,3-Mar,2029737.29,322518.33,2.220090088,0,8.477664773,27.03958904,5.6519,3750,0
31,3-Mar,2029755.02,322516.38,11.27079855,1,25.44124604,27.03958904,5.6519,88,0
32,3-Mar,2029766.07,322518.6,11.27079855,0,11.27079855,27.03958904,5.6519,297500,0
33,3-Mar,2029783.84,322512.42,9.179128499,0,29.09078892,27.03958904,5.6519,35000,0
34,3-Mar,2029793.69,322524.14,6.244621686,0,39.44092418,27.03958904,5.6519,756000,0
35,3-Mar,2029790.42,322518.82,6.244621686,0,35.48399076,27.03958904,5.6519,36480,0
36,3-Mar,2029833.76,322500.2,6.958002587,0,6.958002587,27.03958904,5.6519,13605,0
37,3-Mar,2029828.19,322504.37,6.958002587,1,74.14909979,27.03958904,5.6519,117000,1
38,3-Mar,2029862.56,322498.35,23.0239636,0,34.89322714,27.03958904,5.6519,82500,0
39,3-Mar,2029848.33,322480.25,23.0239636,0,31.4228261,27.03958904,5.6519,1949900,0
40,3-Mar,2029893.66,322485.95,33.48089007,0,68.01189087,27.03958904,5.6519,1638,0
41,3-Mar,2029946.87,322477.99,3.320135539,0,16.73517254,27.03958904,5.6519,48,0
42,3-Mar,2029950.19,322478.02,3.320135539,0,13.4480519,27.03958904,5.6519,572,0
