species	site	light	Growth
1	1	4.96	2.917
1	1	6.5	2.575
1	1	8.12	3.442
1	1	6.22	7.933
1	1	9.89	3.908
1	1	11.96	4.317
1	1	14.6	5.008
1	1	4.95	9.317
1	1	7.02	6.858
1	1	11.59	7.183
1	1	9.86	2.417
1	1	6.44	4.5
1	1	4.99	3.217
1	1	6.13	2.808
1	1	7.58	3.075
1	1	5.94	4.275
1	1	7.34	5.383
1	1	4.96	4.558
1	1	6.03	2.2
1	1	6.09	1.967
1	1	4.71	3.175
1	1	6.21	2.667
1	1	4.85	3.6
1	1	7.21	5.392
1	1	4.5	3.925
1	1	9.69	2.117
1	1	6.32	4.583
1	1	6.94	5.067
1	1	9.16	1.325
1	1	3.9	1.833
1	1	34.05	10.675
1	1	60.26	8.183
1	1	62.06	8.917
1	1	47.11	7.908
1	1	70.75	14.517
1	1	72.98	11.542
1	1	67.69	16.317
1	1	75.43	12.912
1	1	70.09	14
1	2	35.72	11.075
1	2	27.61	8.467
1	2	35.65	8.892
1	2	53.78	17.6
1	2	37.08	5.833
1	2	19.81	7.725
1	2	26.91	8.55
1	2	11.07	8.3
1	2	68.99	7.475
1	2	29.5	8.05
1	2	7.46	4.15
1	2	10.87	4.45
1	2	14.51	2.4
1	2	13.6	8.483
1	2	8.26	4.333
1	2	13.35	5.225
1	2	20.83	3.317
1	2	17.93	4.833
1	2	16.57	7.725
1	2	23.4	3.05
1	2	4.6	4.625
1	2	7.28	4.217
1	2	8.17	2.308
1	2	8.34	2.817
1	2	5.72	3.467
1	2	10.62	2.758
1	2	9.98	2.325
1	2	7.92	2.842
1	2	6.04	6.1
1	2	8.91	3.267
1	2	6.82	4.475
2	1	5.19	2.608
2	1	7.65	3.762
2	1	13.1	2.797
2	1	12.28	3.34
2	1	4.87	5.882
2	1	6.63	4.76
2	1	12.21	3.629
2	1	5.51	3.316
2	1	5.74	2.317
2	1	6.31	2.63
2	1	7.4	3.911
2	1	6.89	3.061
2	1	6.44	4.993
2	1	5.82	2.733
2	1	4.78	2.587
2	1	4.96	2.659
2	1	6.38	2.366
2	1	5.63	2.568
2	1	7.53	2.607
2	1	7.05	5.002
2	1	6.19	3.657
2	1	7.62	2.654
2	1	7.24	2.611
2	1	5.29	3.782
2	1	6	2.505
2	1	8.14	1.359
2	1	7.2	1.642
2	1	7.55	2.636
2	1	6.58	6.558
2	1	28.81	6.342
2	1	54.02	9.767
2	1	72.31	13.983
2	1	42.09	4.558
2	1	31.13	5.458
2	1	11.67	3.925
2	1	30.33	4.767
2	1	23.46	6.75
2	1	28.94	7.033
2	1	31.23	11.758
2	2	45.84	6.683
2	2	49.45	21.367
2	2	28.84	7.733
2	2	11.05	5.55
2	2	19.82	9.025
2	2	18.8	5
2	2	20.2	9.558
2	2	13.72	6.992
2	2	21.67	18.892
2	2	11.54	4.442
2	2	10.34	3.717
2	2	18.71	3.442
2	2	12.78	4.842
2	2	12.62	7.192
2	2	7.15	8.842
2	2	6.89	4.708
2	2	8.48	7.25
2	2	9.99	9.958
2	2	17.41	3.375
2	2	7.76	4.408
2	2	12.23	6.133
2	2	11.63	3.875
2	2	9.24	2.717
2	2	12.99	5.417
2	2	9.78	7.783
2	2	11.09	2.583
2	2	11	4.1
2	2	12.95	3.292
2	2	8.67	3.725
