settlers	recruits
38	8
52	8
14	3
23	7
66	5
35	2
0	0
50	9
19	5
1	1
2	1
20	5
3	1
0	0
106	4
21	7
13	5
26	3
7	3
94	14
0	0
16	1
48	8
3	1
0	0
32	6
41	9
51	9
9	4
65	8
6	2
2	2
46	7
10	6
35	10
5	3
2	0
7	2
6	2
35	5
1	1
0	0
33	7
8	0
58	7
32	3
48	7
9	3
21	2
37	5
18	5
15	6
12	5
0	0
0	0
20	6
32	6
91	10
5	2
0	0
19	6
0	0
2	2
40	4
16	6
10	3
6	2
4	0
1	0
0	0
17	5
25	11
68	10
131	10
64	3
92	7
22	9
20	7
12	6
19	10
117	11
33	7
6	5
0	0
0	0
3	0
8	6
12	3
2	2
29	8
77	11
28	7
52	7
7	1
15	5
0	0
68	6
5	2
0	0
4	2
1	1
44	5
1	1
10	4
17	5
20	2
31	7
12	4
0	0
0	0
20	4
18	5
2	1
0	0
0	0
40	5
115	8
14	4
6	2
57	8
5	5
1	1
35	8
1	1
8	2
0	0
16	8
33	7
0	0
32	2
43	12
16	5
3	2
3	0
35	9
12	3
61	9
14	6
6	5
4	3
0	0
77	6
32	10
47	14
49	8
23	5
18	7
83	6
55	9
0	0
22	7
20	8
3	2
38	6
7	4
4	2
45	7
2	1
15	2
11	4
34	9
1	1
9	4
12	2
1	0
39	8
68	7
16	3
25	6
20	4
0	0
1	1
0	0
83	6
12	7
15	2
10	6
0	0
49	5
39	10
3	3
31	5
12	5
10	5
13	6
51	8
36	5
31	7
8	4
6	1
11	4
16	5
23	8
0	0
19	5
5	3
24	4
33	10
22	9
58	6
0	0
2	1
0	0
43	10
65	5
8	4
7	5
8	0
75	7
18	6
16	9
4	3
37	6
33	6
0	0
32	5
24	4
1	1
0	0
41	7
0	0
65	9
47	6
0	0
32	5
26	5
33	6
0	0
4	2
148	9
35	9
3	2
9	2
11	6
16	4
2	1
56	9
102	8
5	5
80	6
2	1
0	0
5	2
0	0
60	10
19	6
111	6
6	4
2	2
28	5
29	10
9	4
29	8
0	0
85	11
5	4
26	8
38	9
70	10
39	6
0	0
1	0
8	4
36	6
6	1
16	6
94	8
155	8
59	11
1	0
21	9
0	0
32	10
23	8
2	1
6	3
13	2
5	4
0	0
36	11
6	4
4	2
6	3
49	9
1	1
0	0
31	5
0	0
9	4
3	2
8	2
0	0
0	0
0	0
6	5
12	4
0	0
38	12
37	7
1	1
32	6
7	3
39	5
14	4
85	9
34	6
6	3
0	0
9	4
39	4
9	2
122	6
0	0
97	6
35	9
11	6
97	8
11	4
30	8
0	0
0	0
27	7
16	4
12	5
13	5
6	4
3	3
90	5
144	8
13	4
0	0
46	6
22	6
0	0
22	3
6	4
38	5
4	3
0	0
4	1
8	3
16	3
18	9
4	2
8	5
0	0
2	0
39	8
11	5
80	8
27	7
8	5
33	12
26	6
7	3
0	0
0	0
57	7
20	4
44	7
17	7
27	3
33	5
60	6
4	2
35	7
0	0
51	7
10	2
5	3
11	5
0	0
0	0
29	13
2	0
0	0
6	3
10	3
0	0
0	0
14	4
89	9
42	8
80	12
0	0
3	1
49	5
10	2
21	6
0	0
5	1
34	7
10	5
7	3
9	3
1	1
19	5
8	5
29	8
11	4
6	3
0	0
1	0
13	4
31	5
82	7
45	8
20	5
15	3
5	3
0	0
12	7
0	0
9	4
0	0
20	3
0	0
0	0
0	0
33	7
2	1
6	2
0	0
6	3
7	2
28	4
1	0
20	7
19	4
0	0
23	5
13	3
25	9
5	2
0	0
0	0
9	3
0	0
2	2
34	13
12	6
0	0
5	3
20	1
0	0
1	1
44	8
33	8
71	9
25	8
4	4
0	0
36	6
55	8
20	8
20	5
29	8
37	5
0	0
14	6
13	4
14	4
41	9
55	10
0	0
12	3
51	9
0	0
20	8
0	0
17	4
9	4
0	0
41	6
13	3
22	6
4	3
6	4
14	7
8	1
7	2
0	0
15	6
50	8
27	8
0	0
37	8
8	3
114	11
4	1
17	5
4	3
47	8
17	4
0	0
17	6
49	4
11	5
9	3
33	11
71	6
37	6
8	4
42	6
20	3
0	0
120	6
9	6
39	9
13	4
19	3
9	4
0	0
33	2
0	0
21	6
87	5
38	5
32	8
95	9
24	7
95	8
4	2
0	0
28	4
47	8
8	0
10	2
25	8
7	5
34	9
40	11
6	2
11	6
14	2
7	5
90	6
19	5
22	6
75	7
13	6
33	9
27	8
18	5
65	10
42	5
4	2
0	0
20	8
34	5
20	10
0	0
13	5
6	2
56	8
4	4
7	3
1	0
0	0
20	8
10	3
3	2
17	6
9	3
5	4
5	3
46	7
64	8
0	0
27	6
48	9
0	0
19	6
36	7
19	5
13	4
18	6
29	8
2	1
61	2
67	9
0	0
0	0
3	3
0	0
0	0
0	0
54	6
18	5
33	11
69	9
57	7
3	3
0	0
14	4
13	6
0	0
7	6
21	5
100	6
0	0
65	7
68	0
