SP,LogArea,LogMass,LogLength,LogDiameter
1,4.6473,5.6996,4.3729,2.5519
1,4.3795,5.2863,4.2380,2.4620
1,4.2085,5.3247,4.3201,2.4308
1,4.0927,5.0250,4.0899,2.3769
1,4.0792,5.2091,4.2672,2.3738
1,4.2080,4.9972,4.1673,2.3211
1,4.1773,5.0931,4.1761,2.3062
1,4.0338,4.8739,4.0569,2.2889
1,3.9722,4.8020,4.1106,2.2612
1,4.1996,4.8507,4.1303,2.2478
1,4.1409,4.7918,4.1106,2.2253
1,4.0840,4.8105,4.0969,2.2245
1,4.1195,4.7384,4.0828,2.2048
1,4.1195,4.7514,4.1004,2.2048
1,3.9020,4.8440,4.1271,2.2024
1,4.0638,4.6805,4.0531,2.1870
1,3.9815,4.5957,4.0253,2.1545
1,3.7719,4.5090,4.0531,2.1235
1,3.9815,4.5957,4.0000,2.1149
1,3.8893,4.5006,4.0000,2.1149
1,3.8846,4.4995,4.0000,2.1149
1,3.7583,4.4740,4.0414,2.1014
1,3.7394,4.4729,4.0453,2.0977
1,3.7237,4.4464,4.0253,2.0907
1,3.8246,4.4605,4.0170,2.0884
1,3.8016,4.4164,3.9685,2.0859
1,3.7583,4.4238,4.0170,2.0858
1,3.8246,4.4605,4.0170,2.0844
1,3.7180,4.6326,3.8513,2.0841
1,3.7959,4.4286,3.9956,2.0810
1,3.7478,4.4221,4.0170,2.0805
1,3.7712,4.4086,3.9912,2.0655
1,3.7536,4.3701,3.9731,2.0596
1,3.7220,4.3347,3.9542,2.0418
1,3.7536,4.3701,3.9191,2.0316
1,3.7146,4.2869,3.9191,2.0316
1,3.7068,4.2896,3.9191,2.0316
1,3.6573,4.2300,3.8921,2.0126
1,3.7220,4.3347,3.9138,2.0113
1,3.6788,4.2575,3.9138,2.0113
1,3.6746,4.2564,3.9138,2.0113
1,3.6330,4.1922,3.8692,1.9906
1,3.5636,4.2377,3.9638,1.9816
1,3.5109,4.1846,3.9243,1.9649
1,3.4286,3.9670,3.8261,1.8944
1,2.9534,3.4278,3.6990,1.6028
1,2.6378,3.2758,3.7243,1.5224
1,2.6275,3.1652,3.7076,1.4650
1,1.8692,2.3201,3.5315,1.1316
2,4.1648,5.3060,4.2014,2.3860
2,4.0831,5.2209,4.1987,2.3808
2,4.0604,5.2003,4.2014,2.3706
2,3.9606,5.2505,4.2355,2.3674
2,4.0492,5.1858,4.2201,2.3635
2,4.0443,5.1842,4.2041,2.3625
2,3.9507,5.1714,4.2504,2.3570
2,4.1060,5.2212,4.2455,2.3539
2,4.0177,5.1621,4.1644,2.3517
2,3.9197,5.1889,4.2455,2.3373
2,3.8873,4.9714,4.1818,2.2260
2,3.5441,4.8739,4.2041,2.2108
2,3.6755,4.8464,4.1239,2.2090
2,3.8336,4.9371,4.1732,2.2056
2,3.9411,4.7622,3.9956,2.1914
2,3.7890,4.8996,4.1673,2.1911
2,3.5528,4.8081,4.1367,2.1877
2,3.7653,4.8820,4.1614,2.1823
2,3.7119,4.7357,4.0531,2.1635
2,3.6021,4.6052,4.0170,2.1099
2,3.7464,4.4749,3.9494,2.0843
2,3.7011,4.4294,3.9731,2.0633
2,3.6776,4.4086,3.9542,2.0564
2,3.6605,4.3933,3.9638,2.0514
2,3.5990,4.4187,3.8921,2.0432
2,3.6021,4.3933,3.9777,2.0178
2,3.5262,4.1765,3.7243,1.9716
2,2.6501,2.9614,3.3424,1.2164
3,3.9686,5.5872,4.3945,2.4950
3,3.8880,5.3614,4.2833,2.3716
3,3.9765,5.1844,4.2041,2.3563
3,3.9756,5.1877,4.3096,2.2958
3,3.7899,4.9562,4.2330,2.2494
3,3.6847,4.8608,4.1790,2.1969
3,3.7148,4.7962,4.1523,2.1702
3,3.6297,4.7840,4.1703,2.1645
3,3.5443,4.6226,4.1004,2.1432
3,3.6172,4.6827,4.0792,2.1304
3,3.4912,4.7092,4.1875,2.1257
3,3.3943,4.6310,4.1703,2.1078
3,3.2339,4.5170,4.1761,2.0545
3,3.3279,4.4773,4.1271,2.0437
3,3.1900,4.4447,4.1239,2.0212
3,3.4739,4.4835,4.1367,2.0179
3,3.1465,4.2396,3.9138,1.9735
