Year,Rain,N,sd
1961,38,263,40
1962,100,,
1963,104,357,70
1964,167,,
1965,167,439,84
1966,165,,
1967,79,483,56
1968,91,,
1969,77,,
1970,134,,
1971,192,693,28.8
1972,235,773,76.7
1973,159,,
1974,211,,
1975,257,,
1976,204,,
1977,300,1444,200
1978,187,1248,355
1979,84,,
1980,99,1337,80
1981,163,,
1982,97,1208,272
1983,228,,
1984,208,1337,138
1985,83,,
1986,44,1146,134
1987,112,,
1988,191,,
1989,202,1407,109
1990,127,,
1991,254,1221,177
1992,153,,
1993,19,,
1994,227,917,173
1995,165.5,,
1996,324.2,,
1997,158.6,,
1998,172,,
1999,155.1,1302,308
2000,64.25,1245,144.9
2001,256,,
2002,156.6,,
2003,197,1183,128
2004,198.41,,
2005,169.6,,
2006,156.6,1086,166
2007,134.6,,
2008,155,,
2009,,1400,76
